raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
pvs_biss_5_post,NA,Right now I feel...,raw,0,"A great deal worse about my looks than I usually feel = 1, Much worse about my looks than I usually feel = 2, Somewhat wrose about my looks than I usually feel = 3, Just slightly worse about my looks than I usually feel = 4, About the same about my looks as usual = 5, Just slightly better about my looks than I usually feel = 6, Somewhat better about my looks than I usually feel = 7, Much better about my looks than I usually feel = 8, A great deal better about my looks than I usually feel = 9.",NA,NA,NA,NA,NA
pvs_biss_6_post,NA,Right now I feel that I look…,raw,0,"A great deal worse than the average person looks = 1, Much worse than the average person looks  = 2, Somewhat worse than the average person looks  = 3, Just slightly worse than the average person looks l = 4, About the same that the average person looks  = 5, Just slightly better than the average person looks  = 6, Somewhat better than the average person looks  = 7, Much better than the average person looks  = 8, A great deal better than the average person looks = 9.",NA,NA,NA,NA,NA
pvs_selfreport_states_post_complete,NA,Complete?,raw,0,"incomplete = 0, unverified = 1, complete = 2",NA,NA,NA,NA,NA
"pvs_biss_1_pre, pvs_biss_2_pre, pvs_biss_3_pre, pvs_biss_4_pre, pvs_biss_5_pre, pvs_biss_6_pre, pvs_selfreport_states_pre_complete, pvs_biss_1_post, pvs_biss_2_post, pvs_biss_3_post, pvs_biss_4_post, pvs_biss_5_post, pvs_selfreport_states_post_complete",NA,pvs select,select,1,NA,NA,NA,NA,NA,NA
pvs_biss_1_pre,biss_appearance_pre,Right now I feel...,recode,2,"extremely dissastisfied with my physical appearance = 1, mostly dissatisfied with my physical appearance = 2, moderately dissatisfied with my physical appearance = 3, slightly dissatisfied with my physical appearance = 4, neither dissatisfied nor satisfied with my physical appearance = 5, slightly satisfied with my physical appearance = 6, moderately satisfied with my physical appearance = 7, mostly satisfied with my physical appearance = 8, extremely satisfied with my physical appearance = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_2_pre,biss_body_size_pre,Right now I feel...,recode,2,"extremely dissastisfied with my body shape and size = 1, mostly dissatisfied withmy body shape and size = 2, moderately dissatisfied withmy body shape and size = 3, slightly dissatisfied with my body shape and size = 4, neither dissatisfied nor satisfied with my body shape and size = 5, slightly satisfied withmy body shape and size = 6, moderately satisfied withmy body shape and size = 7, mostly satisfied with my body shape and size = 8, extremely satisfied with my body shape and size = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_3_pre,biss_weight_pre,Right now I feel...,recode,2,"extremely dissastisfied with my weight = 1, mostly dissatisfied with my weight = 2, moderately dissatisfied with my weight = 3, slightly dissatisfied with my weight = 4, neither dissatisfied nor satisfied with my weight = 5, slightly satisfied with myweight = 6, moderately satisfied with myweight = 7, mostly satisfied with my weight = 8, extremely satisfied with my weight = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_4_pre,biss_attractive_pre,Right now I feel...,recode,2,"extremely physically unattractive = 1, mostly physically unattractive = 2, moderately physically unattractive = 3, slightly physically unattractive = 4, neither physically attractive nor unattractive = 5, slightly physically attractive = 6, moderately physically attractive = 7, mostly physically attractive = 8, extremely physically attractive = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_5_pre,biss_looks_pre,Right now I feel...,recode,2,"A great deal worse about my looks than I usually feel = 1, Much worse about my looks than I usually feel = 2, Somewhat wrose about my looks than I usually feel = 3, Just slightly worse about my looks than I usually feel = 4, About the same about my looks as usual = 5, Just slightly better about my looks than I usually feel = 6, Somewhat better about my looks than I usually feel = 7, Much better about my looks than I usually feel = 8, A great deal better about my looks than I usually feel = 9.","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_6_pre,biss_average_looks_pre,Right now I feel that I look…,recode,2,"A great deal worse than the average person looks = 1, Much worse than the average person looks  = 2, Somewhat worse than the average person looks  = 3, Just slightly worse than the average person looks l = 4, About the same that the average person looks  = 5, Just slightly better than the average person looks  = 6, Somewhat better than the average person looks  = 7, Much better than the average person looks  = 8, A great deal better than the average person looks = 9.","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_selfreport_states_pre_complete,biss_complete_pre,Complete?,recode,2,"incomplete = 0, unverified = 1, complete = 2",NA,NA,NA,NA,NA
pvs_biss_1_post,biss_appearance_post,Right now I feel...,recode,2,"extremely dissastisfied with my physical appearance = 1, mostly dissatisfied with my physical appearance = 2, moderately dissatisfied with my physical appearance = 3, slightly dissatisfied with my physical appearance = 4, neither dissatisfied nor satisfied with my physical appearance = 5, slightly satisfied with my physical appearance = 6, moderately satisfied with my physical appearance = 7, mostly satisfied with my physical appearance = 8, extremely satisfied with my physical appearance = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_2_post,biss_body_size_post,Right now I feel...,recode,2,"extremely dissastisfied with my body shape and size = 1, mostly dissatisfied withmy body shape and size = 2, moderately dissatisfied withmy body shape and size = 3, slightly dissatisfied with my body shape and size = 4, neither dissatisfied nor satisfied with my body shape and size = 5, slightly satisfied withmy body shape and size = 6, moderately satisfied withmy body shape and size = 7, mostly satisfied with my body shape and size = 8, extremely satisfied with my body shape and size = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_3_post,biss_weight_post,Right now I feel...,recode,2,"extremely dissastisfied with my weight = 1, mostly dissatisfied with my weight = 2, moderately dissatisfied with my weight = 3, slightly dissatisfied with my weight = 4, neither dissatisfied nor satisfied with my weight = 5, slightly satisfied with myweight = 6, moderately satisfied with myweight = 7, mostly satisfied with my weight = 8, extremely satisfied with my weight = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_4_post,biss_attractive_post,Right now I feel...,recode,2,"extremely physically unattractive = 1, mostly physically unattractive = 2, moderately physically unattractive = 3, slightly physically unattractive = 4, neither physically attractive nor unattractive = 5, slightly physically attractive = 6, moderately physically attractive = 7, mostly physically attractive = 8, extremely physically attractive = 9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_5_post,biss_looks_post,Right now I feel...,recode,2,"A great deal worse about my looks than I usually feel = 1, Much worse about my looks than I usually feel = 2, Somewhat wrose about my looks than I usually feel = 3, Just slightly worse about my looks than I usually feel = 4, About the same about my looks as usual = 5, Just slightly better about my looks than I usually feel = 6, Somewhat better about my looks than I usually feel = 7, Much better about my looks than I usually feel = 8, A great deal better about my looks than I usually feel = 9.","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_biss_6_post,biss_average_looks_post,Right now I feel that I look…,recode,2,"A great deal worse than the average person looks = 1, Much worse than the average person looks  = 2, Somewhat worse than the average person looks  = 3, Just slightly worse than the average person looks l = 4, About the same that the average person looks  = 5, Just slightly better than the average person looks  = 6, Somewhat better than the average person looks  = 7, Much better than the average person looks  = 8, A great deal better than the average person looks = 9.","1=0, 2=1, 3=2, 4=3, 5=4, 6=5, 7=6, 8=7, 9=8",NA,NA,NA,NA
pvs_selfreport_states_post_complete,biss_complete_post,Complete?,recode,2,"incomplete = 0, unverified = 1, complete = 2",NA,NA,NA,NA,NA
"biss_appearance_pre, biss_body_size_pre, biss_weight_pre, biss_attractive_pre, biss_looks_pre, biss_average_looks_pre, biss_complete_pre, biss_appearance_post, biss_body_size_post, biss_weight_post, biss_attractive_post, biss_looks_post, biss_average_looks_post, biss_complete_post",biss_sum,sum of body image states scale,sum,3,NA,NA,NA,NA,NA,NA
