raw_vrs,new_vars,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
iuss_doubt,NA,The smallest doubt can stop me from acting.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_organize,NA,I should be able to organize everything in advance.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_avoid_uncertain,NA,I must get away from all uncertain situations.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
intolerance_of_uncertainty_scale_short_form_iuss_complete,NA,Complete?,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
"iuss_unforeseen, iuss_no_info, iuss_unfull_life, iuss_avoid_surprise, iuss_spoil_plan, iuss_paralyse, iuss_cant_function, iuss_know_future, iuss_not surprise, iuss_doubt, iuss_organize, iuss_avoid_uncertain, intolerance_of_uncertainty_scale_short_form_iuss_complete, subject_id",NA,NA,select,1,NA,NA,NA,NA,NA,NA
subject_id,id,NA,rename,2,NA,NA,NA,NA,NA,NA
iuss_unforeseen,ius_unforeseen,Unforeseen events upset me greatly.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_no_info,ius_noinfo,It frustrates me not having all the information I need.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=5","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_unfull_life,ius_unfulll,Uncertainty keeps me from living a full life.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=6","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_avoid_surprise,ius_avoid_surprise,One should always look ahead so as to avoid surprises.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=7","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_spoil_plan,ius_spoil,"A small unforeseen event can spoil everything, even with the best of planning.",recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=8","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_paralyse,ius_paralyse,"When it's time to act, uncertainty paralyses me.",recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=9","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_cant_function,ius_cant,When I am uncertain I can't function very well.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=10","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_know_future,ius_know,I always want to know what the future has in store for me.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=11","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_not_surprise,ius_notsurprise,I can't stand being taken by surprise.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=12","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_doubt,ius_doubt,The smallest doubt can stop me from acting.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=13","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_organize,ius_organize,I should be able to organize everything in advance.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=14","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
iuss_avoid_uncertain,ius_avoid_uncertain,I must get away from all uncertain situations.,recode,2,"Not at all charachteristic of me=0, A little charachteristic of me=1, Somewhat charachteristic of me=2, Very charachteristic of me=3, Entirely charachteristic of me=15","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
intolerance_of_uncertainty_scale_short_form_iuss_complete,intolerance_of_uncertainty_scale_short_form_ius_complete,Did participant complete IUSS?,recode,2,"incomplete = 0, uverified = 1, complete = 2",NA,NA,NA,NA,NA
"ius_unforeseen, ius_noinfo, ius_unfulll, ius_avoid_surprise, ius_spoil, ius_paralyse, ius_cant
ius_know, ius_notsurprise, ius_doubt, ius_organize, ius_avoid_uncertain",iuss_sum,sum of IUS,sum,3,NA,NA,NA,NA,NA,NA
