raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
srhi_4,srhi_4_weird,Habitual eating is something that makes me feel weird if I do not do it.,recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_5,srhi_5_without_thinking,Habitual eating is something I do without thinking.,recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_6,srhi_6_effort_not_to,Habitual eating is something that would require effort not to do it.,recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_7,srhi_7_routine,"Habitual eating is something that belongs to my (daily, weekly, monthly) routine.",recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_8,srhi_8_without_realizing,Habitual eating is something I start doing before I realize I'm doing it,recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_9,srhi_9_hard_not_to,Habitual eating is something I would find hard not to do.,recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_10,srhi_10_no_need_to_think,Habitual eating is something I have no need to think about doing.,recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_11,srhi_11_typically_me,"Habitual eating is something that's typically ""me"".",recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
srhi_12,srhi_12_long_time,Habitual is something I have been doing for a long time.,recode,2,"Strongly disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
"srhi_1_frequently,srhi_2_automatically,srhi_3_consciously_remember,srhi_4_weird,srhi_5_without_thinking,srhi_6_effort_not_to,srhi_7_routine,srhi_8_without_realizing,srhi_9_hard_not_to,srhi_10_no_need_to_think,srhi_11_typically_me,srhi_12_long_time",srhi_mean,mean of self report habit index ,mean,3,NA,NA,NA,NA,NA,NA
